user_id,recommended_offer
23557,Meal voucher
94883,Discount at special events
101486,Free child ticket
101961,Meal voucher
106907,Free child ticket
118043,Free child ticket
120851,Meal voucher
125845,Meal voucher
133058,Meal voucher
149058,Free child ticket
152583,Discount at special events
153982,Meal voucher
160754,Discount at special events
164522,Meal voucher
174997,Discount at special events
175032,Meal voucher
181157,Meal voucher
187212,Discount at special events
189676,Free child ticket
190866,Meal voucher
195192,Free meal
204943,Free meal
204997,Meal voucher
205044,Free child ticket
206011,Free child ticket
216796,Meal voucher
217136,Discount at special events
220725,10% off next trip
226367,Free meal
228872,Meal voucher
229009,Discount at special events
229330,Free meal
232647,Meal voucher
249521,Free child ticket
252835,Free child ticket
258451,Meal voucher
264470,Meal voucher
276512,Discount at special events
281952,Meal voucher
283325,Free meal
290123,Free meal
297546,Meal voucher
298253,Meal voucher
299476,Free meal
306819,Free meal
312488,Discount at special events
313724,Meal voucher
316527,Free child ticket
317688,Free child ticket
322867,Meal voucher
324191,Free meal
328590,Free meal
330764,Meal voucher
330893,Discount at special events
331039,Free child ticket
334787,Discount at special events
337227,Meal voucher
338086,Discount at special events
340166,Discount at special events
343928,Meal voucher
347778,Free meal
348817,Discount at special events
349132,Meal voucher
350648,10% off next trip
353271,Meal voucher
353694,Free child ticket
354050,Discount at special events
354260,Free meal
354311,Discount at special events
354950,Meal voucher
356046,Meal voucher
357737,Free child ticket
359072,Free child ticket
359080,Free meal
359653,Discount at special events
361459,Discount at special events
361759,Discount at special events
363535,10% off next trip
365825,Free meal
371201,Discount at special events
372970,Meal voucher
373489,Free child ticket
374331,Free meal
374340,Meal voucher
374341,Meal voucher
375160,Meal voucher
375729,Free meal
375751,Discount at special events
376159,Discount at special events
377411,Discount at special events
378565,Meal voucher
379543,Discount at special events
380434,Discount at special events
380436,Meal voucher
380757,Meal voucher
380874,Discount at special events
380949,10% off next trip
381259,Discount at special events
381465,Meal voucher
382181,Meal voucher
382384,Discount at special events
385689,Free child ticket
386255,Free meal
386469,Meal voucher
386914,Discount at special events
387282,Free meal
387783,Meal voucher
388328,Meal voucher
388767,Meal voucher
388947,Discount at special events
389434,Discount at special events
389662,Discount at special events
389759,Free child ticket
390811,Meal voucher
392453,Meal voucher
395202,Meal voucher
395981,Free meal
396552,Discount at special events
399137,Free meal
399218,Discount at special events
399799,Meal voucher
400275,Free meal
400582,Discount at special events
400899,Meal voucher
401245,Discount at special events
402332,Discount at special events
402978,Meal voucher
403881,Meal voucher
404879,Free meal
405305,Free child ticket
406210,Meal voucher
407118,Meal voucher
407250,Discount at special events
407275,Meal voucher
407434,Meal voucher
407642,Free meal
408551,Free child ticket
409073,Free meal
411179,Free meal
411701,Meal voucher
413128,Free meal
413340,Meal voucher
413418,Discount at special events
413658,Meal voucher
414128,Free meal
415282,Free child ticket
415381,Discount at special events
415581,Meal voucher
416319,Discount at special events
416580,Free meal
417679,Free meal
418329,Meal voucher
418488,Meal voucher
418692,Meal voucher
420648,Meal voucher
420669,Meal voucher
421247,Free child ticket
421515,Discount at special events
421666,Free child ticket
421700,Free child ticket
421870,Discount at special events
422066,Free child ticket
423042,Meal voucher
423413,Meal voucher
424553,Meal voucher
425632,Meal voucher
425653,Meal voucher
425953,Meal voucher
425966,Free meal
426478,Meal voucher
427426,Discount at special events
427506,Free meal
428056,Meal voucher
428552,Discount at special events
428858,Meal voucher
429345,Meal voucher
